titulo,empresa,cidade,modalidade,descricao,link,data_coleta
Coordenador(a) de Canal Indireto (Distribution Partner Manager),Red Bull,"Salvador, BA",verificar,"Gestão da rede de revenda (Canal Indireto), com nível superior em Administração/Marketing e experiência em áreas comerciais. Publicada em 15/09/2026.",https://vagasbr.empregonaweb.com/2026/09/15/coordenadora-de-canal-indireto-distribution-partner-manager-salvador-ba/,2026-09-21
Gerente de Canais,Ricoh Latin America,"São Paulo, SP",verificar,"Comercialização de produtos junto ao Canal Indireto (Rede de Revendas), com gerenciamento de parceiros comerciais da empresa. Candidaturas abertas até 04/10/2026.",https://bebee.com/br/jobs/gerente-de-canais-ricoh-latin-america-inc-sao-paulo-sao-paulo--t7xk-789692450,2026-09-21
Channels and Alliances Manager - Brazil,Elastic,Brasil,verificar,"Partner Manager para o time de Business Development, cobrindo parceiros do mercado brasileiro. Vaga publicada na página de carreiras da própria empresa.",https://jobs.elastic.co/form?gh_jid=7230500,2026-09-21
Executivo de Alianças e Parcerias,Experian,"São Paulo, SP",verificar,"Liderança da estratégia de Alianças & Parcerias, com foco em gerar novos negócios e desenvolver parcerias estratégicas que impulsionem resultados.",https://jobs.experian.com/job/executivo-de-aliancas-e-parcerias-in-sao-paulo-brazil-jid-4807,2026-09-21
Coordenador de Parcerias,Berry Consultoria Empresarial,"Curitiba, PR",verificar,"Estruturar, desenvolver e coordenar a estratégia de parcerias da empresa: prospecção, negociação e desenvolvimento de parcerias estratégicas B2B e criação de programas de parceria.",https://bebee.com/br/jobs/coordenador-de-parcerias-berry-consultoria-empresarial-curitiba--fj-2292893386,2026-09-21
Analista de Parcerias Estratégicas,ETALENT,não informado,verificar,"Atuação em parcerias estratégicas, apoiando negociação e gestão de relacionamento com parceiros de negócio.",https://www.empregare.com/pt-br/vaga-analista-de-parcerias-estrategicas_68244,2026-09-21
Analista de Canais,não informado,"São Paulo, SP",verificar,"Gestão e desenvolvimento de canais de venda e parcerias estratégicas, acompanhando o processo comercial de parceiros via CRM.",https://www.jobleads.com/br/job/analista-de-canais--sao-paulo--e914c2fc01797e6f547ec6da5d5a47fad,2026-09-21
Channel Manager - Brazil,não informado,"São Paulo, SP",verificar,"Definição e execução da estratégia de parceiros de canal no mercado brasileiro, incluindo recrutamento e desenvolvimento de parceiros de negócio.",https://www.jobleads.com/br/job/channel-manager-brazil--sao-paulo--e239a5cfe28f719e5e78f47162c2dc2fe,2026-09-21
Alliances Manager,não informado,"São Paulo, SP",verificar,"Gestão de alianças estratégicas, atuando na estruturação e expansão de parcerias de negócio.",https://www.jobleads.com/br/job/alliances-manager--sao-paulo--e3b4e2fa0d97592030605e021094161d5,2026-09-21
Gerente de Estratégia de Canal & Growth (foco canal especializado),não informado,"São Paulo, SP",verificar,Liderança de equipes comerciais com foco em estratégia de canal especializado e crescimento (growth) do canal indireto.,https://www.agrobase.com.br/oportunidades/2026/09/gerente-de-estrategia-de-canal-growth-foco-canal-especializado-sao-paulo-sp/,2026-09-21
